model,method,setting,pa,ia,dr,qs
Qwen,Zero-shot,Single-task Code,41.7,41.7,45.8,3.6
Qwen,Grouped,Single-task Code,70.5,70.5,70.3,4.5
Qwen,Step-wise,Single-task Code,18.9,18.9,17.6,3.9
Qwen,Constrained,Single-task Code,69.9,69.9,74.3,5.1
Qwen,COPILOT,Single-task Code,78.5,78.5,15.5,5.4
Qwen,Zero-shot,Multi-task Code,56.9,73.3,65.6,5.5
Qwen,Grouped,Multi-task Code,60.9,74.8,57.7,4.8
Qwen,Step-wise,Multi-task Code,15.5,23.3,16.9,4.2
Qwen,Constrained,Multi-task Code,56.7,73.1,65.5,5.6
Qwen,COPILOT,Multi-task Code,80.3,85.3,19.0,5.8
Qwen,Zero-shot,Single-task NLP,99.9,99.9,99.4,7.9
Qwen,Grouped,Single-task NLP,100.0,100.0,59.1,8.8
Qwen,Step-wise,Single-task NLP,100.0,100.0,92.9,6.5
Qwen,Constrained,Single-task NLP,100.0,100.0,97.1,7.6
Qwen,COPILOT,Single-task NLP,98.8,98.8,7.2,9.5
Qwen,Zero-shot,Multi-task NLP,100.0,100.0,98.0,7.3
Qwen,Grouped,Multi-task NLP,99.9,100.0,75.7,7.6
Qwen,Step-wise,Multi-task NLP,100.0,100.0,90.0,6.7
Qwen,Constrained,Multi-task NLP,100.0,100.0,96.7,7.4
Qwen,COPILOT,Multi-task NLP,98.6,99.3,39.8,7.3
Gemma,Zero-shot,Single-task Code,72.0,72.0,72.5,4.1
Gemma,Grouped,Single-task Code,70.1,70.1,75.4,3.7
Gemma,Step-wise,Single-task Code,37.3,37.3,37.9,3.8
Gemma,Constrained,Single-task Code,71.2,71.2,73.0,4.0
Gemma,COPILOT,Single-task Code,80.0,80.0,21.7,4.7
Gemma,Zero-shot,Multi-task Code,43.6,62.3,53.5,4.5
Gemma,Grouped,Multi-task Code,53.5,70.6,70.5,3.4
Gemma,Step-wise,Multi-task Code,8.4,12.6,10.4,3.7
Gemma,Constrained,Multi-task Code,45.6,63.5,54.5,4.3
Gemma,COPILOT,Multi-task Code,85.0,88.8,18.3,4.5
Gemma,Zero-shot,Single-task NLP,100.0,100.0,98.3,7.9
Gemma,Grouped,Single-task NLP,100.0,100.0,29.0,8.9
Gemma,Step-wise,Single-task NLP,99.4,99.4,91.3,7.4
Gemma,Constrained,Single-task NLP,100.0,100.0,100.0,7.8
Gemma,COPILOT,Single-task NLP,95.4,95.4,25.9,8.3
Gemma,Zero-shot,Multi-task NLP,100.0,100.0,97.9,7.5
Gemma,Grouped,Multi-task NLP,99.9,100.0,67.2,7.8
Gemma,Step-wise,Multi-task NLP,99.8,99.9,92.1,6.4
Gemma,Constrained,Multi-task NLP,100.0,100.0,95.8,7.2
Gemma,COPILOT,Multi-task NLP,98.1,99.1,42.6,6.7
Gemini,Zero-shot,Single-task Code,56.4,56.4,65.8,4.8
Gemini,Grouped,Single-task Code,64.5,64.5,74.5,4.8
Gemini,Step-wise,Single-task Code,62.9,62.9,67.5,4.6
Gemini,COPILOT,Single-task Code,95.8,95.8,12.5,4.4
Gemini,Zero-shot,Multi-task Code,46.1,65.3,66.3,5.4
Gemini,Grouped,Multi-task Code,63.4,77.0,73.2,4.8
Gemini,Step-wise,Multi-task Code,69.3,79.2,75.2,5.3
Gemini,COPILOT,Multi-task Code,95.8,95.8,25.0,4.6
Gemini,Zero-shot,Single-task NLP,100.0,100.0,100.0,8.9
Gemini,Grouped,Single-task NLP,100.0,100.0,76.4,8.8
Gemini,Step-wise,Single-task NLP,100.0,100.0,100.0,7.6
Gemini,COPILOT,Single-task NLP,100.0,100.0,18.1,8.8
Gemini,Zero-shot,Multi-task NLP,100.0,100.0,100.0,8.4
Gemini,Grouped,Multi-task NLP,100.0,100.0,96.5,7.6
Gemini,Step-wise,Multi-task NLP,100.0,100.0,100.0,7.4
Gemini,COPILOT,Multi-task NLP,100.0,100.0,26.4,8.2
