domain,gap,length,steps,pa,ia,dr,is_main_setting
Code,4,128,64,88.9,89.8,14.8,false
Code,4,128,96,85.2,86.1,14.8,false
Code,4,128,128,83.3,85.2,14.8,false
Code,4,192,64,85.2,86.1,14.8,false
Code,4,192,96,83.3,84.3,16.7,false
Code,4,192,128,79.6,80.6,14.8,false
Code,4,256,64,88.9,89.8,18.5,false
Code,4,256,96,88.9,89.8,22.2,false
Code,4,256,128,83.3,84.3,13.0,false
Code,6,128,64,87.0,89.8,20.4,false
Code,6,128,96,85.2,87.0,18.5,false
Code,6,128,128,88.9,89.8,20.4,false
Code,6,192,64,83.3,85.2,16.7,false
Code,6,192,96,85.2,87.0,16.7,false
Code,6,192,128,90.7,90.7,16.7,false
Code,6,256,64,83.3,84.3,18.5,false
Code,6,256,96,83.3,84.3,14.8,false
Code,6,256,128,87.0,88.0,14.8,false
Code,8,128,64,87.0,88.9,13.0,true
Code,8,128,96,90.7,91.7,16.7,false
Code,8,128,128,85.2,86.1,18.5,false
Code,8,192,64,81.5,83.3,14.8,false
Code,8,192,96,92.6,94.4,20.4,false
Code,8,192,128,81.5,82.4,14.8,false
Code,8,256,64,75.9,76.9,11.1,false
Code,8,256,96,81.5,82.4,18.5,false
Code,8,256,128,96.3,97.2,20.4,false
Text,4,128,64,86.1,90.7,56.5,false
Text,4,128,96,87.0,91.2,53.7,false
Text,4,128,128,88.0,92.1,54.6,false
Text,4,192,64,87.0,91.7,54.6,false
Text,4,192,96,89.8,93.5,54.6,false
Text,4,192,128,86.1,90.7,58.3,false
Text,4,256,64,87.0,91.2,55.6,false
Text,4,256,96,89.8,93.5,57.4,false
Text,4,256,128,90.7,94.0,54.6,false
Text,6,128,64,88.9,93.1,56.5,false
Text,6,128,96,86.1,90.3,54.6,false
Text,6,128,128,88.9,93.1,58.3,false
Text,6,192,64,88.0,91.7,59.3,false
Text,6,192,96,88.9,93.5,59.3,true
Text,6,192,128,89.8,93.5,54.6,false
Text,6,256,64,88.0,92.1,58.3,false
Text,6,256,96,90.7,94.0,56.5,false
Text,6,256,128,90.7,93.5,50.9,false
Text,8,128,64,88.0,92.6,55.6,false
Text,8,128,96,86.1,91.2,54.6,false
Text,8,128,128,90.7,94.0,58.3,false
Text,8,192,64,88.0,91.7,57.4,false
Text,8,192,96,88.0,92.1,52.8,false
Text,8,192,128,91.7,94.9,60.2,false
Text,8,256,64,89.8,93.5,55.6,false
Text,8,256,96,86.1,90.3,58.3,false
Text,8,256,128,88.9,93.1,60.2,false
